,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
56,Katsuura,JP,2020-02-20 04:25:23,35.13,140.3,55.99,57,75,3.36,broken clouds,0,0
57,Kruisfontein,ZA,2020-02-20 04:25:23,-34.0,24.73,74.61,47,33,5.93,scattered clouds,0,0
58,Mahebourg,MU,2020-02-20 04:25:24,-20.41,57.7,80.6,69,40,8.05,scattered clouds,0,0
59,Hambantota,LK,2020-02-20 04:25:24,6.12,81.12,84.2,74,20,13.87,few clouds,0,0
60,Durban,ZA,2020-02-20 04:25:24,-29.86,31.03,71.6,94,97,1.12,light rain,0.13,0
61,Aleppo,SY,2020-02-20 04:25:25,36.25,37.5,47.23,87,0,15.37,clear sky,0,0
62,Naryan-Mar,RU,2020-02-20 04:25:25,67.67,53.09,15.75,90,95,4.7,overcast clouds,0,0
63,Shingu,JP,2020-02-20 04:25:25,33.73,135.98,53.6,50,75,4.7,broken clouds,0,0
64,Salalah,OM,2020-02-20 04:25:25,17.02,54.09,73.4,69,75,4.7,broken clouds,0,0
65,Hobart,AU,2020-02-20 04:25:25,-42.88,147.33,68.0,42,75,18.34,broken clouds,0,0
66,Half Moon Bay,US,2020-02-20 04:25:26,37.46,-122.43,55.4,66,20,10.29,few clouds,0,0
67,Kalaleh,IR,2020-02-20 04:25:26,37.38,55.49,42.8,93,90,2.19,mist,0,0
68,Albany,US,2020-02-20 04:25:26,42.6,-73.97,25.0,49,40,6.93,scattered clouds,0,0
69,Inhambane,MZ,2020-02-20 04:25:26,-23.86,35.38,75.2,94,20,9.66,few clouds,0,0
70,Foz Do Iguacu,BR,2020-02-20 04:25:27,-25.55,-54.59,82.4,94,92,2.24,overcast clouds,0,0
71,Sechura,PE,2020-02-20 04:25:27,-5.56,-80.82,74.64,84,59,6.22,broken clouds,0,0
72,Saint-Joseph,RE,2020-02-20 04:25:27,-21.37,55.62,81.0,65,0,10.29,clear sky,0,0
73,North Bend,US,2020-02-20 04:25:27,43.41,-124.22,48.99,87,1,4.7,clear sky,0,0
74,Zhezkazgan,KZ,2020-02-20 04:25:28,47.8,67.71,6.8,92,20,4.47,few clouds,0,0
75,Lypnyazhka,UA,2020-02-20 04:25:28,48.45,31.08,34.84,79,1,3.6,clear sky,0,0
76,Acapulco,MX,2020-02-20 04:25:05,16.86,-99.89,80.6,74,5,6.93,clear sky,0,0
77,Bluff,NZ,2020-02-20 04:25:29,-46.6,168.33,71.33,51,100,7.43,overcast clouds,0,0
78,Bjornevatn,NO,2020-02-20 04:25:29,69.67,29.98,17.6,72,0,23.04,clear sky,0,0
79,Wewak,PG,2020-02-20 04:25:29,-3.55,143.63,85.01,60,88,12.26,overcast clouds,0,0
80,Jamestown,US,2020-02-20 04:25:04,42.1,-79.24,26.6,73,90,8.05,overcast clouds,0,0
81,Gloucester,GB,2020-02-20 04:25:30,51.87,-2.24,48.99,87,90,16.11,overcast clouds,0,0
82,Yambio,SS,2020-02-20 04:25:30,4.57,28.4,72.52,47,89,3.42,overcast clouds,0,0
83,Boguchany,RU,2020-02-20 04:25:30,58.38,97.45,19.11,90,100,10.11,light snow,0,0.25
84,Brigantine,US,2020-02-20 04:25:30,39.41,-74.36,37.99,50,1,3.22,clear sky,0,0
85,Puerto Madero,MX,2020-02-20 04:25:30,14.72,-92.42,78.8,94,75,4.7,broken clouds,0,0
86,Xai-Xai,MZ,2020-02-20 04:25:31,-25.05,33.64,74.03,93,23,3.09,light rain,0.5,0
87,Tiksi,RU,2020-02-20 04:25:31,71.69,128.87,-3.59,84,100,10.49,overcast clouds,0,0
88,Hasaki,JP,2020-02-20 04:25:31,35.73,140.83,57.0,47,75,4.7,broken clouds,0,0
89,Alma,CA,2020-02-20 04:25:09,48.55,-71.65,-5.01,63,20,4.7,few clouds,0,0
90,Gawler,AU,2020-02-20 04:25:32,-34.6,138.73,72.0,40,75,11.41,broken clouds,0,0
91,Avera,US,2020-02-20 04:25:32,33.19,-82.53,51.8,88,90,12.75,haze,0,0
92,Doha,QA,2020-02-20 04:21:02,25.29,51.53,73.0,68,97,5.82,overcast clouds,0,0
93,Taoudenni,ML,2020-02-20 04:25:32,22.68,-3.98,66.36,13,80,5.73,broken clouds,0,0
94,Ribeira Grande,PT,2020-02-20 04:25:33,38.52,-28.7,51.8,62,40,3.36,scattered clouds,0,0
95,Aklavik,CA,2020-02-20 04:25:33,68.22,-135.01,14.0,92,90,6.93,light snow,0,0
96,Rawah,IQ,2020-02-20 04:25:33,34.48,41.91,53.11,93,37,10.92,scattered clouds,0,0
97,Puerto Ayora,EC,2020-02-20 04:25:33,-0.74,-90.35,78.15,87,27,7.54,scattered clouds,0,0
98,Kuala Selangor,MY,2020-02-20 04:25:33,3.35,101.25,89.6,52,20,6.93,few clouds,0,0
99,Jalu,LY,2020-02-20 04:25:34,29.03,21.55,52.18,73,0,6.22,clear sky,0,0
100,Komsomolskiy,UZ,2020-02-20 04:25:34,40.43,71.72,32.0,61,0,1.48,clear sky,0,0
101,Bambous Virieux,MU,2020-02-20 04:25:34,-20.34,57.76,80.6,69,40,8.05,scattered clouds,0,0
102,Vardo,NO,2020-02-20 04:25:34,70.37,31.11,19.4,78,31,14.99,scattered clouds,0,0
103,Nanortalik,GL,2020-02-20 04:25:35,60.14,-45.24,16.95,67,100,6.38,overcast clouds,0,0
104,Upernavik,GL,2020-02-20 04:25:35,72.79,-56.15,0.81,95,100,7.09,light snow,0,0.19
105,Victoria,HK,2020-02-20 04:23:06,22.29,114.16,73.0,42,20,10.29,few clouds,0,0
106,Avarua,CK,2020-02-20 04:25:35,-21.21,-159.78,78.8,94,100,8.05,light rain,1.44,0
107,Bara,NG,2020-02-20 04:25:36,10.37,10.73,64.44,28,15,6.91,few clouds,0,0
108,Yen Bai,VN,2020-02-20 04:25:36,21.7,104.87,63.66,81,100,2.08,overcast clouds,0,0
109,Nyurba,RU,2020-02-20 04:25:36,63.28,118.33,6.75,91,100,7.65,overcast clouds,0,0
110,Gallup,US,2020-02-20 04:25:36,35.53,-108.74,33.8,40,1,8.14,clear sky,0,0
111,Ancud,CL,2020-02-20 04:25:36,-41.87,-73.82,48.2,76,0,12.75,clear sky,0,0
112,Luderitz,NA,2020-02-20 04:25:37,-26.65,15.16,63.95,96,64,15.35,broken clouds,0,0
113,Pastos Bons,BR,2020-02-20 04:25:37,-6.6,-44.08,72.73,94,100,1.39,moderate rain,5.63,0
114,Airai,TL,2020-02-20 04:25:37,-8.93,125.41,79.9,69,43,3.06,light rain,2.56,0
115,Poya,NC,2020-02-20 04:25:37,-21.35,165.15,80.33,72,0,10.92,clear sky,0,0
116,Nambucca Heads,AU,2020-02-20 04:25:37,-30.65,153.0,82.0,54,0,11.41,clear sky,0,0
117,Esperance,AU,2020-02-20 04:25:38,-33.87,121.9,75.2,41,75,12.75,broken clouds,0,0
118,Tursunzoda,TJ,2020-02-20 04:25:38,38.51,68.23,35.6,69,0,4.47,mist,0,0
119,Port Hawkesbury,CA,2020-02-20 04:25:38,45.62,-61.35,24.01,73,40,25.28,light snow,0,0
120,Mlawa,PL,2020-02-20 04:25:38,53.11,20.38,35.6,100,75,6.93,broken clouds,0,0
121,Ukiah,US,2020-02-20 04:22:17,39.15,-123.21,52.0,57,1,3.36,clear sky,0,0
122,Port Hedland,AU,2020-02-20 04:25:39,-20.32,118.57,96.8,47,0,12.75,clear sky,0,0
123,Nyahururu,KE,2020-02-20 04:25:39,0.04,36.37,53.49,85,86,5.91,overcast clouds,0,0
124,Vaini,TO,2020-02-20 04:25:40,-21.2,-175.2,82.4,65,40,6.93,scattered clouds,0,0
125,Griffith,US,2020-02-20 04:24:51,41.53,-87.42,23.0,49,40,5.01,scattered clouds,0,0
126,Deming,US,2020-02-20 04:25:40,32.27,-107.76,48.2,61,1,6.93,clear sky,0,0
127,Beloha,MG,2020-02-20 04:25:40,-25.17,45.05,71.49,91,0,7.02,clear sky,0,0
128,Abu Zabad,SD,2020-02-20 04:25:40,12.35,29.25,65.82,25,0,16.04,clear sky,0,0
129,Lebu,CL,2020-02-20 04:25:41,-37.62,-73.65,55.83,64,0,8.79,clear sky,0,0
130,Qaanaaq,GL,2020-02-20 04:25:41,77.48,-69.36,-12.44,52,0,3.96,clear sky,0,0
131,Bundaberg,AU,2020-02-20 04:21:34,-24.85,152.35,93.2,52,40,3.36,scattered clouds,0,0
132,Apatou,GF,2020-02-20 04:25:41,5.16,-54.35,72.88,84,100,2.73,light rain,0.13,0
133,Marsh Harbour,BS,2020-02-20 04:25:41,26.54,-77.06,75.27,84,4,8.05,light rain,0.13,0
