,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
261,Vertientes,CU,2020-02-20 04:26:11,21.26,-78.15,75.2,94,5,11.41,clear sky,0.0,0.0
262,Touros,BR,2020-02-20 04:26:11,-5.2,-35.46,77.0,94,75,6.93,broken clouds,0.0,0.0
263,Carnarvon,AU,2020-02-20 04:26:11,-24.87,113.63,91.4,49,40,14.99,scattered clouds,0.0,0.0
271,Ratnagiri,IN,2020-02-20 04:26:13,16.98,73.3,77.79,43,98,1.86,overcast clouds,0.0,0.0
274,Tautira,PF,2020-02-20 04:26:14,-17.73,-149.15,84.2,66,20,10.29,few clouds,0.0,0.0
282,Mandera,KE,2020-02-20 04:26:15,3.94,41.87,76.91,75,57,10.54,broken clouds,0.0,0.0
286,Miri,MY,2020-02-20 04:26:16,4.41,114.01,89.6,70,75,10.29,broken clouds,0.0,0.0
293,Kota Belud,MY,2020-02-20 04:26:18,6.35,116.43,86.0,70,20,4.7,few clouds,0.0,0.0
294,Kedougou,SN,2020-02-20 04:26:18,12.56,-12.17,78.8,29,7,4.7,clear sky,0.0,0.0
302,Yulara,AU,2020-02-20 04:26:20,-25.24,130.99,93.2,16,98,10.29,overcast clouds,0.0,0.0
304,Talara,PE,2020-02-20 04:26:21,-4.58,-81.27,75.31,90,0,12.93,clear sky,0.0,0.0
305,Saint-Philippe,RE,2020-02-20 04:26:21,-21.36,55.77,81.0,65,0,10.29,clear sky,0.0,0.0
316,Vanimo,PG,2020-02-20 04:26:23,-2.67,141.3,81.48,73,76,10.83,broken clouds,0.0,0.0
319,Bathsheba,BB,2020-02-20 04:26:24,13.22,-59.52,77.0,69,40,20.8,scattered clouds,0.0,0.0
326,Alice Springs,AU,2020-02-20 04:23:32,-23.7,133.88,91.4,9,0,10.29,clear sky,0.0,0.0
327,Ngunguru,NZ,2020-02-20 04:26:26,-35.62,174.5,79.0,64,0,7.0,clear sky,0.0,0.0
330,Karasburg,,2020-02-20 04:26:26,-28.02,18.75,75.88,48,93,13.47,overcast clouds,0.0,0.0
331,Sao Joao Da Barra,BR,2020-02-20 04:26:27,-21.64,-41.05,78.06,82,99,18.9,overcast clouds,0.0,0.0
