City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Sioux Lookout,CA,2020-02-17 21:14:10,50.1,-91.92,14.0,78,90,6.93
70,Faanui,PF,2020-02-17 21:15:41,-16.48,-151.75,81.86,78,100,16.15
71,Saint-Philippe,RE,2020-02-17 21:15:41,-21.36,55.77,77.0,88,75,14.99
72,Atuona,PF,2020-02-17 21:15:41,-9.8,-139.03,81.34,76,1,21.56
73,Zarubino,RU,2020-02-17 21:15:42,42.63,131.09,14.14,72,29,30.29
74,Takab,IR,2020-02-17 21:15:42,36.4,47.11,28.63,92,83,5.17
75,Kaitangata,NZ,2020-02-17 21:13:41,-46.28,169.85,60.01,93,100,1.01
76,Caceres,ES,2020-02-17 21:15:42,39.52,-6.37,51.01,69,100,6.29
77,Saskylakh,RU,2020-02-17 21:15:43,71.92,114.08,5.22,94,96,9.28
78,Margate,GB,2020-02-17 21:15:43,51.38,1.39,46.99,75,100,18.34
79,Bouar,CF,2020-02-17 21:15:43,5.93,15.6,73.38,20,37,7.56
80,Shenzhen,CN,2020-02-17 21:10:46,22.55,114.07,55.4,37,0,10.29
81,Muros,ES,2020-02-17 21:15:44,42.78,-9.06,46.0,93,20,1.25
82,Ribeira Grande,PT,2020-02-17 21:15:44,38.52,-28.7,53.6,66,40,11.41
83,San-Pedro,CI,2020-02-17 21:15:44,4.75,-6.64,82.08,82,0,11.92
84,Severo-Kurilsk,RU,2020-02-17 21:14:12,50.68,156.12,11.35,87,100,13.15
85,Abdulino,RU,2020-02-17 21:15:44,53.7,53.67,26.76,84,100,22.06
86,Castro,BR,2020-02-17 21:13:52,-24.79,-50.01,80.8,63,63,2.08
87,Honningsvag,NO,2020-02-17 21:12:09,70.98,25.97,35.6,80,75,21.92
88,Nabire,ID,2020-02-17 21:15:45,-3.37,135.48,70.93,98,100,2.33
89,Tuatapere,NZ,2020-02-17 21:15:45,-46.13,167.68,57.0,98,98,1.5
90,Trairi,BR,2020-02-17 21:15:46,-3.28,-39.27,76.69,91,100,3.4
91,Lavrentiya,RU,2020-02-17 21:14:45,65.58,-171.0,-3.84,65,92,18.95
92,Kjollefjord,NO,2020-02-17 21:15:46,70.95,27.35,35.6,69,75,28.86
93,Jamestown,US,2020-02-17 21:15:47,42.1,-79.24,41.0,47,1,2.08
94,Muli,MV,2020-02-17 21:15:47,2.92,73.57,82.47,81,17,15.35
95,Manuk Mangkaw,PH,2020-02-17 21:15:47,4.8,119.85,80.91,78,0,11.3
96,Ferme-Neuve,CA,2020-02-17 21:15:47,46.7,-75.45,15.58,76,33,2.35
97,East London,ZA,2020-02-17 21:15:48,-33.02,27.91,73.51,79,100,12.82
98,Laramie,US,2020-02-17 21:15:45,41.31,-105.59,32.0,30,20,20.8
99,Georgetown,MY,2020-02-17 21:15:49,5.41,100.34,80.6,88,40,3.36
100,Leshukonskoye,RU,2020-02-17 21:15:49,64.9,45.76,33.3,97,100,14.14
101,Te Anau,NZ,2020-02-17 21:15:49,-45.42,167.72,56.5,97,100,1.83
102,Beringovskiy,RU,2020-02-17 21:15:49,63.05,179.32,-8.82,90,99,21.97
103,Yar-Sale,RU,2020-02-17 21:15:50,66.83,70.83,11.25,89,100,23.49
104,Port Alfred,ZA,2020-02-17 21:15:50,-33.59,26.89,70.38,82,100,12.84
105,Fairbanks,US,2020-02-17 21:15:11,64.84,-147.72,0.0,83,75,3.11
106,Iqaluit,CA,2020-02-17 21:15:50,63.75,-68.51,-23.01,67,20,2.24
107,Alofi,NU,2020-02-17 21:13:47,-19.06,-169.92,80.06,86,23,18.52
108,Atambua,ID,2020-02-17 21:15:51,-9.11,124.89,75.51,86,1,3.67
109,Okhotsk,RU,2020-02-17 21:15:51,59.38,143.3,-5.58,75,100,5.91
110,Ipanema,BR,2020-02-17 21:15:51,-30.14,-51.22,84.2,70,75,11.41
111,Stornoway,GB,2020-02-17 21:12:01,58.21,-6.39,41.0,80,84,24.16
112,Odessa,UA,2020-02-17 21:11:47,46.48,30.73,41.0,93,75,11.18
113,Kikwit,CD,2020-02-17 21:15:52,-5.04,18.82,73.38,92,100,1.7
114,Tuktoyaktuk,CA,2020-02-17 21:15:52,69.45,-133.04,-23.8,67,40,8.05
115,Deputatskiy,RU,2020-02-17 21:15:53,69.3,139.9,-7.22,93,89,3.62
116,Yaring,TH,2020-02-17 21:15:53,6.87,101.37,81.37,78,100,23.6
117,Bredasdorp,ZA,2020-02-17 21:15:53,-34.53,20.04,63.0,82,65,3.36
118,Husavik,IS,2020-02-17 21:15:53,66.04,-17.34,32.0,98,90,10.29
119,Arcata,US,2020-02-17 21:12:10,40.87,-124.08,57.0,76,1,12.75
120,Mandera,KE,2020-02-17 21:15:54,3.94,41.87,75.0,19,93,1.01
121,Adrar,MR,2020-02-17 21:15:55,20.5,-10.07,77.97,9,100,12.21
122,Rioblanco,CO,2020-02-17 21:15:55,3.53,-75.68,87.82,38,86,3.36
123,Maceio,BR,2020-02-17 21:13:31,-9.67,-35.74,84.2,66,20,14.99
124,Puerto Ayora,EC,2020-02-17 21:15:55,-0.74,-90.35,87.8,55,20,12.75
125,Avarua,CK,2020-02-17 21:13:54,-21.21,-159.78,80.6,94,100,9.17
126,Thompson,CA,2020-02-17 21:11:43,55.74,-97.86,-2.2,53,75,9.17
127,Saint George,US,2020-02-17 21:12:55,37.1,-113.58,63.0,27,1,7.23
128,Brokopondo,SR,2020-02-17 21:15:56,4.75,-55.17,81.03,69,94,5.7
129,Marzuq,YE,2020-02-17 21:15:56,14.4,46.47,64.42,61,2,3.83
130,Kuching,MY,2020-02-17 21:15:57,1.55,110.33,73.4,100,20,1.12
131,Saldanha,ZA,2020-02-17 21:15:57,-33.01,17.94,64.4,72,0,10.29
132,Grand Gaube,MU,2020-02-17 21:15:57,-20.01,57.66,77.0,88,75,12.75
133,Mantua,IT,2020-02-17 21:15:57,45.17,10.78,52.0,87,75,3.36
134,Kushnarenkovo,RU,2020-02-17 21:15:57,55.1,55.35,24.8,85,90,20.13
135,Hambantota,LK,2020-02-17 21:14:40,6.12,81.12,76.48,77,99,22.84
136,Chamonix-Mont-Blanc,FR,2020-02-17 21:15:58,45.92,6.87,48.2,87,90,5.82
137,Banda Aceh,ID,2020-02-17 21:15:58,5.56,95.32,71.83,96,11,4.27
138,Roald,NO,2020-02-17 21:15:59,62.58,6.13,43.0,81,75,24.16
139,Bandarbeyla,SO,2020-02-17 21:15:59,9.49,50.81,77.67,74,30,14.65
140,Manacapuru,BR,2020-02-17 21:15:59,-3.3,-60.62,80.6,74,75,6.93
141,Serenje,ZM,2020-02-17 21:15:59,-13.23,30.24,64.45,96,98,4.03
142,Cabo San Lucas,MX,2020-02-17 21:14:25,22.89,-109.91,87.8,28,20,8.05
143,Chiriguana,CO,2020-02-17 21:16:00,9.36,-73.6,103.5,21,89,6.82
144,Kyra,RU,2020-02-17 21:16:00,49.58,111.98,2.64,83,0,5.08
145,Sao Joao Da Barra,BR,2020-02-17 21:16:00,-21.64,-41.05,84.2,66,66,23.04
146,Zaranj,AF,2020-02-17 21:16:01,30.97,61.88,44.6,35,100,9.17
147,Valparaiso,CL,2020-02-17 21:16:01,-33.04,-71.63,86.0,41,0,17.22
148,Belyy Yar,RU,2020-02-17 21:16:01,53.6,91.39,1.4,84,40,0.51
149,Oyo,NG,2020-02-17 21:16:01,7.85,3.93,84.2,70,2,11.41
150,Simbahan,PH,2020-02-17 21:16:02,6.3,120.58,81.66,78,0,23.51
151,Henties Bay,NA,2020-02-17 21:16:02,-22.12,14.28,64.99,91,52,1.99
152,Kampot,KH,2020-02-17 21:16:02,10.62,104.18,80.6,74,20,12.75
153,Hami,CN,2020-02-17 21:16:02,42.8,93.45,17.55,48,0,0.87
154,Kavaratti,IN,2020-02-17 21:16:03,10.57,72.64,81.16,71,66,6.08
155,Winnemucca,US,2020-02-17 21:16:03,40.97,-117.74,42.8,24,1,16.11
156,Acajutla,SV,2020-02-17 21:11:37,13.59,-89.83,93.2,23,0,4.7
157,Richards Bay,ZA,2020-02-17 21:16:03,-28.78,32.04,79.34,83,100,30.2
158,Chardara,KZ,2020-02-17 21:16:04,41.25,67.97,37.15,80,100,5.44
159,Quatre Cocos,MU,2020-02-17 21:16:04,-20.21,57.76,77.0,88,75,12.75
160,Butere,KE,2020-02-17 21:16:04,0.21,34.49,68.36,75,33,4.21
161,Port Elizabeth,ZA,2020-02-17 21:14:53,-33.92,25.57,66.2,93,75,2.24
162,Bambous Virieux,MU,2020-02-17 21:16:05,-20.34,57.76,77.0,88,75,12.75
163,Itarema,BR,2020-02-17 21:16:05,-2.92,-39.92,78.6,86,100,4.72
164,Dikson,RU,2020-02-17 21:16:05,73.51,80.55,6.84,90,96,28.07
165,Argir,FO,2020-02-17 21:16:06,62.0,-6.77,37.4,93,100,11.41
166,Nanortalik,GL,2020-02-17 21:16:06,60.14,-45.24,20.95,66,93,10.96
167,Biltine,TD,2020-02-17 21:16:06,14.53,20.92,71.49,19,75,8.79
168,Dicabisagan,PH,2020-02-17 21:16:06,17.08,122.42,71.31,88,100,19.3
169,Fortuna,US,2020-02-17 21:16:06,40.6,-124.16,57.0,76,1,12.75
170,Kieta,PG,2020-02-17 21:16:07,-6.22,155.63,81.99,69,100,6.78
171,Geraldton,AU,2020-02-17 21:16:07,-28.77,114.6,82.4,30,40,21.92
172,Rawson,AR,2020-02-17 21:16:08,-43.3,-65.1,60.82,61,0,10.2
173,Tiznit,MA,2020-02-17 21:16:08,29.58,-9.5,64.24,31,0,2.64
